VSP,Pango_Lineage,Collection_Date,Rationale,Percent_5x_Coverage,Mean_Coverage,GISAID_ID,NCBI_Accession
VSP0184,B.1,4/8/2020,hospitalized,99.7,2000,hCoV-19/USA/VSP0184/2020,MW001238
VSP0185,B.1,4/13/2020,hospitalized,99.7,2015,hCoV-19/USA/VSP0185/2020,MW001239
VSP0186,B.1,4/13/2020,hospitalized,99.7,1296,hCoV-19/USA/VSP0186/2020,MW001237
VSP0188,B.1,5/29/2020,hospitalized,99.7,11443,hCoV-19/USA/VSP0188/2020,MW001247
VSP0189,B.1,5/29/2020,hospitalized,99.7,1229,hCoV-19/USA/VSP0189/2020,MW001249
VSP0195,B.1,5/29/2020,hospitalized,98.8,1847,hCoV-19/USA/VSP0195/2020,MW001281
VSP0196,B.1,5/29/2020,hospitalized,98.3,66,hCoV-19/USA/VSP0196/2020,MW001283
VSP0202,B.1.564,6/12/2020,hospitalized,99.7,3801,hCoV-19/USA/VSP0202/2020,MW001279
VSP0230,B.1,6/29/2020,hospitalized,99.7,7948,hCoV-19/USA/VSP0230/2020,MW001284
VSP0233,B.1,7/1/2020,hospitalized,99.7,7982,hCoV-19/USA/VSP0233/2020,MW001285
VSP0256,B.1.240,7/17/2020,hospitalized,99,14869,hCoV-19/USA/VSP0256/2020,MW001286
VSP0262,B.1,5/20/2020,hospitalized,99.7,5006,hCoV-19/USA/VSP0262/2020,MW001276
VSP0263,B.1,5/22/2020,hospitalized,99.5,1365,hCoV-19/USA/VSP0263/2020,MW001277
VSP0266,B.1,7/27/2020,hospitalized,99.7,16111,hCoV-19/USA/VSP0266/2020,OK245577
VSP0271,B.1,7/29/2020,hospitalized,99.7,10930,hCoV-19/USA/VSP0271/2020,OK245578
VSP0318,B.1.439,5/6/2020,hospitalized,99,661,hCoV-19/USA/PA-VSP0318/2020,OK245579
VSP0319,B.1,5/20/2020,hospitalized,98.5,452,hCoV-19/USA/PA-VSP0319/2020,OK245580
VSP0320,B.1,5/22/2020,hospitalized,99.7,2633,hCoV-19/USA/PA-VSP0320/2020,OK245581
VSP0327,B.1.340,8/26/2020,hospitalized,99.7,7863,hCoV-19/USA/VSP0327/2020,OK245582
VSP0356,B.1.543,9/16/2020,hospitalized,99.7,13848,hCoV-19/USA/VSP0356/2020,OK245583
VSP0359,B.1.240,9/16/2020,hospitalized,97.1,10757,hCoV-19/USA/VSP0359/2020,OK245584
VSP0393,B.1,10/9/2020,hospitalized,99.7,2796,hCoV-19/USA/VSP0393/2020,OK245585
VSP0399,B.1,10/12/2020,hospitalized,99.1,1480,hCoV-19/USA/VSP0399/2020,OK245586
VSP0415,B.1.243,10/19/2020,hospitalized,99.6,2599,hCoV-19/USA/VSP0415/2020,OK245587
VSP0421,B.1.311,10/21/2020,hospitalized,99.5,4966,hCoV-19/USA/VSP0421/2020,OK245588
VSP0424,B.1.2,10/21/2020,hospitalized,99.7,5440,hCoV-19/USA/VSP0424/2020,OK245589
VSP0425,B.1.243,10/23/2020,hospitalized,99.5,1635,hCoV-19/USA/VSP0425/2020,OK245590
VSP0429,B.1.1.434,10/26/2020,hospitalized,99.7,1404,hCoV-19/USA/VSP0429/2020,OK245591
VSP0448,B.1.1.317,11/4/2020,hospitalized,99.6,6319,hCoV-19/USA/VSP0448/2020,OK245592
VSP0460,B.1.243,11/11/2020,hospitalized,99.7,6801,hCoV-19/USA/VSP0460/2020,OK245593
VSP0470,B.1.591,11/13/2020,hospitalized,99.7,5740,hCoV-19/USA/VSP0470/2020,OK245594
VSP0479,B.1.1.434,11/16/2020,hospitalized,99.6,6537,hCoV-19/USA/VSP0479/2020,OK245595
VSP0483,B.1.243,11/18/2020,hospitalized,99.7,5644,hCoV-19/USA/VSP0483/2020,OK245596
VSP0491,B.1.543,11/20/2020,hospitalized,99.4,5847,hCoV-19/USA/VSP0491/2020,OK245597
VSP0503,B.1.243,12/2/2020,hospitalized,99.7,6003,hCoV-19/USA/VSP0503/2020,OK245598
VSP0505,B.1.2,12/3/2020,hospitalized,99.6,5947,hCoV-19/USA/VSP0505/2020,OK245599
VSP0510,B.1.234,12/4/2020,hospitalized,99.6,8236,hCoV-19/USA/VSP0510/2020,OK245600
VSP0511,B.1.369,12/7/2020,hospitalized,96,80,hCoV-19/USA/VSP0511/2020,OK245601
VSP0514,B.1.243,12/7/2020,hospitalized,99.7,5998,hCoV-19/USA/VSP0514/2020,OK245602
VSP0517,B.1.243,12/9/2020,hospitalized,99.7,6525,hCoV-19/USA/VSP0517/2020,OK245603
VSP0550,B.1.243,12/14/2020,hospitalized,99.6,13979,hCoV-19/USA/VSP0550/2020,OK245613
VSP0554,B.1.311,12/14/2020,hospitalized,99.7,5812,hCoV-19/USA/VSP0554/2020,OK245614
VSP0560,B.1.243,12/18/2020,hospitalized,99.7,11400,hCoV-19/USA/VSP0560/2020,OK245615
VSP0571,B.1.2,1/3/2021,s drop,99.8,14881,hCoV-19/USA/VSP0571/2021,OK245617
VSP0576,B.1.243,1/8/2021,hospitalized,99.7,8390,hCoV-19/USA/VSP0576/2021,OK245618
VSP0586,B.1.240,1/11/2021,hospitalized,99.7,1671,hCoV-19/USA/VSP0586/2021,OK245619
VSP0588,B.1.243,1/11/2021,hospitalized,99.7,22053,hCoV-19/USA/VSP0588/2021,OK245620
VSP0596,B.1.2,1/15/2021,hospitalized,99.7,7544,hCoV-19/USA/VSP0596/2021,OK245621
VSP0600,B.1.243,1/15/2021,hospitalized,99.7,7386,hCoV-19/USA/VSP0600/2021,OK245622
VSP0601,B.1.2,1/15/2021,hospitalized,99.7,8719,hCoV-19/USA/VSP0601/2021,OK245623
VSP0603,B.1.234,12/9/2020,asymptomatic,99.7,4502,hCoV-19/USA/VSP0603/2021,OK245624
VSP0604,B.1.311,12/9/2020,asymptomatic,99.7,5314,hCoV-19/USA/VSP0604/2021,OK245625
VSP0605,B.1.1.434,12/9/2020,asymptomatic,99.7,1480,hCoV-19/USA/VSP0605/2021,OK245626
VSP0606,B.1.1.434,12/7/2020,asymptomatic,99.7,3798,hCoV-19/USA/VSP0606/2021,OK245627
VSP0607,B.1.2,12/15/2020,asymptomatic,99.7,4786,hCoV-19/USA/VSP0607/2021,OK245628
VSP0608,B.1.243,12/15/2020,asymptomatic,99.7,5034,hCoV-19/USA/VSP0608/2021,OK245629
VSP0609,B.1.2,12/15/2020,asymptomatic,99.7,4664,hCoV-19/USA/VSP0609/2021,OK245630
VSP0611,B.1.2,12/15/2020,asymptomatic,99.7,4822,hCoV-19/USA/VSP0611/2021,OK245631
VSP0612,B.1.311,12/22/2020,asymptomatic,98.9,678,hCoV-19/USA/VSP0612/2021,OK245632
VSP0613,B.1.243,12/29/2020,asymptomatic,99.7,3295,hCoV-19/USA/VSP0613/2021,OK245633
VSP0614,B.1.2,12/29/2020,asymptomatic,99.7,4656,hCoV-19/USA/VSP0614/2021,OK245634
VSP0615,B.1.243,1/4/2021,asymptomatic,99.7,4204,hCoV-19/USA/VSP0615/2021,OK245635
VSP0616,B.1.243,1/4/2021,asymptomatic,96.9,135,hCoV-19/USA/VSP0616/2021,OK245636
VSP0617,B.1.243,1/4/2021,asymptomatic,99.7,5117,hCoV-19/USA/VSP0617/2021,OK245637
VSP0619,B.1.2,12/23/2020,hospitalized,98.1,2519,hCoV-19/USA/PA-VSP0619/2020,OK245638
VSP0622,B.1.375,1/20/2021,s drop,99.7,13155,hCoV-19/USA/VSP0622/2021,OK245639
VSP0625,B.1.1.7,1/22/2021,s drop,99.1,11175,hCoV-19/USA/VSP0625/2021,OK245641
VSP0654,B.1.1.7,1/27/2021,hospitalized,99.7,12051,hCoV-19/USA/VSP0654/2020,OK245656
VSP0657,B.1.311,1/27/2021,hospitalized,99,376,hCoV-19/USA/VSP0657/2020,OK245657
VSP0672,B.1.243,3/1/2021,surveillance,99.7,2436,hCoV-19/USA/PA-VSP0672/2021,OK245671
VSP0673,B.1.243,3/1/2021,surveillance,99,162,hCoV-19/USA/PA-VSP0673/2021,OK245672
VSP0674,B.1.1.7,3/1/2021,surveillance,99.1,2377,hCoV-19/USA/PA-VSP0674/2021,OK245673
VSP0676,R.1,3/1/2021,surveillance,98.9,7268,hCoV-19/USA/PA-VSP0676/2021,OK245674
VSP0677,B.1.628,3/1/2021,surveillance,98.8,2671,hCoV-19/USA/PA-VSP0677/2021,OK245675
VSP0678,B.1.2,3/1/2021,surveillance,99.7,5666,hCoV-19/USA/PA-VSP0678/2021,OK245676
VSP0679,B.1.2,3/1/2021,surveillance,99.7,7679,hCoV-19/USA/PA-VSP0679/2021,OK245677
VSP0680,B.1.637,3/1/2021,surveillance,99.7,6952,hCoV-19/USA/PA-VSP0680/2021,OK245678
VSP0681,B.1.526,3/1/2021,surveillance,99.7,8527,hCoV-19/USA/PA-VSP0681/2021,OK245679
VSP0682,B.1.2,3/1/2021,surveillance,99.7,8384,hCoV-19/USA/PA-VSP0682/2021,OK245680
VSP0683,B.1.243,3/1/2021,surveillance,96.5,201,hCoV-19/USA/PA-VSP0683/2021,OK245681
VSP0684,B.1.243,3/1/2021,surveillance,99.7,9417,hCoV-19/USA/PA-VSP0684/2021,OK245682
VSP0685,B.1.575,3/1/2021,surveillance,99.7,7995,hCoV-19/USA/PA-VSP0685/2021,OK245683
VSP0695,B.1.575,3/1/2021,surveillance,99.7,5846,hCoV-19/USA/PA-VSP0695/2021,OK245684
VSP0696,B.1.637,3/1/2021,surveillance,99.7,5060,hCoV-19/USA/PA-VSP0696/2021,OK245685
VSP0697,B.1.2,3/1/2021,surveillance,99.7,3674,hCoV-19/USA/PA-VSP0697/2021,OK245686
VSP0698,B.1.243,3/1/2021,surveillance,99.7,5793,hCoV-19/USA/PA-VSP0698/2021,OK245687
VSP0707,B.1.243,3/22/2021,surveillance,99.7,5501,hCoV-19/USA/PA-VSP0707/2021,OK245692
VSP0709,B.1.2,3/22/2021,surveillance,99.7,4990,hCoV-19/USA/PA-VSP0709/2021,OK245693
VSP0711,B.1.1.7,3/22/2021,surveillance,99.7,5425,hCoV-19/USA/PA-VSP0711/2021,OK245694
VSP0790,B.1.1.7,1/29/2021,hospitalized,99.7,953,hCoV-19/USA/PA-VSP0790/2021,OK245713
VSP0794,B.1.2,2/5/2021,hospitalized,99.6,337,hCoV-19/USA/PA-VSP0794/2021,OK245714
VSP0796,B.1.2,2/5/2021,hospitalized,99.7,1125,hCoV-19/USA/PA-VSP0796/2021,OK245715
VSP0811,B.1.1.7,2/11/2021,s drop,99.7,13760,hCoV-19/USA/VSP0811/2021,OK245721
VSP0812,B.1.1.7,2/11/2021,s drop,99.7,10880,hCoV-19/USA/VSP0812/2021,OK245722
VSP0813,B.1.1.7,2/11/2021,s drop,99.7,10718,hCoV-19/USA/VSP0813/2021,OK245723
VSP0814,B.1.1.7,2/12/2021,s drop,99,10785,hCoV-19/USA/VSP0814/2021,OK245724
VSP0815,B.1.1.7,2/12/2021,s drop,99.7,9042,hCoV-19/USA/VSP0815/2021,OK245725
VSP0832,B.1.243,2/12/2021,hospitalized,98.4,2230,hCoV-19/USA/PA-VSP0832/2021,
VSP0840,B.1.1.434,2/15/2021,hospitalized,99.6,580,hCoV-19/USA/PA-VSP0840/2021,OK245735
VSP0859,B.1.526,2/22/2021,hospitalized,99.5,488,hCoV-19/USA/PA-VSP0859/2021,OK245739
VSP0866,B.1.480,2/22/2021,hospitalized,97.3,641,hCoV-19/USA/VSP0866/2021,OK245745
VSP0868,B.1.1.7,2/22/2021,s drop,99.7,13767,hCoV-19/USA/VSP0868/2021,OK245747
VSP0869,B.1.1.7,2/22/2021,s drop,99.7,14937,hCoV-19/USA/VSP0869/2021,OK245748
VSP0870,B.1.1.7,2/22/2021,s drop,99.7,15409,hCoV-19/USA/VSP0870/2021,OK245749
VSP0871,B.1.1.7,2/22/2021,s drop,99.7,13761,hCoV-19/USA/VSP0871/2021,OK245750
VSP0872,B.1.1.7,2/22/2021,s drop,99.7,16372,hCoV-19/USA/VSP0872/2021,OK245751
VSP0873,B.1.1.7,2/22/2021,s drop,99.1,13141,hCoV-19/USA/VSP0873/2021,OK245752
VSP0875,B.1.637,2/24/2021,hospitalized,99.7,765,hCoV-19/USA/PA-VSP0875/2021,OK245753
VSP0879,B.1.1.7,3/1/2021,s drop,99.7,6725,hCoV-19/USA/PA-VSP0879/2021,OK245754
VSP0880,B.1.1.7,3/1/2021,s drop,99.7,6484,hCoV-19/USA/PA-VSP0880/2021,OK245755
VSP0881,B.1.1.519,3/1/2021,vaccine breakthrough,99.7,7493,hCoV-19/USA/PA-VSP0881/2021,OK245756
VSP0882,B.1.1.7,3/1/2021,s drop,99.7,7511,hCoV-19/USA/NJ-VSP0882/2021,OK245757
VSP0884,B.1.1.7,3/1/2021,s drop,99.7,6615,hCoV-19/USA/PA-VSP0884/2021,OK245758
VSP0885,B.1.1.7,3/1/2021,s drop,99.7,7926,hCoV-19/USA/PA-VSP0885/2021,OK245759
VSP0886,B.1.1.7,3/1/2021,s drop,99.7,7279,hCoV-19/USA/PA-VSP0886/2021,OK245760
VSP0887,B.1.1.7,3/1/2021,s drop,99.7,4291,hCoV-19/USA/PA-VSP0887/2021,OK245761
VSP0888,B.1.1.7,3/1/2021,s drop,99.7,7254,hCoV-19/USA/PA-VSP0888/2021,OK245762
VSP0889,B.1.526,3/1/2021,vaccine breakthrough,99.7,7570,hCoV-19/USA/NJ-VSP0889/2021,OK245763
VSP0890,B.1.1.7,3/1/2021,vaccine breakthrough,97.7,44,hCoV-19/USA/PA-VSP0890/2021,OK245764
VSP0891,B.1.1.7,3/1/2021,s drop,99.7,6487,hCoV-19/USA/PA-VSP0891/2021,OK245765
VSP0892,B.1.1.7,3/1/2021,s drop,99.7,7782,hCoV-19/USA/PA-VSP0892/2021,OK245766
VSP0893,B.1.1.7,3/1/2021,s drop,99.7,6528,hCoV-19/USA/NJ-VSP0893/2021,OK245767
VSP0894,B.1.1.7,3/1/2021,s drop,99.7,6624,hCoV-19/USA/NJ-VSP0894/2021,OK245768
VSP0895,B.1.1.7,3/1/2021,s drop,99.7,6834,hCoV-19/USA/DE-VSP0895/2021,OK245769
VSP0896,B.1.1.7,3/1/2021,s drop,99.7,6555,hCoV-19/USA/PA-VSP0896/2021,OK245770
VSP0897,B.1.1.7,3/1/2021,s drop,99.7,7130,hCoV-19/USA/PA-VSP0897/2021,OK245771
VSP0912,B.1.526,3/5/2021,hospitalized,99.7,1529,hCoV-19/USA/PA-VSP0912/2021,OK245776
VSP0915,B.1.311,3/5/2021,hospitalized,99.7,1239,hCoV-19/USA/PA-VSP0915/2021,OK245777
VSP0918,B.1.243,3/8/2021,hospitalized,99.7,1581,hCoV-19/USA/PA-VSP0918/2021,OK245778
VSP0923,B.1.311,2/26/2021,hospitalized,99.7,1402,hCoV-19/USA/PA-VSP0923/2021,OK245779
VSP0926,B.1.1.519,2/26/2021,hospitalized,99.7,1440,hCoV-19/USA/PA-VSP0926/2021,OK245780
VSP0934,B.1.234,3/8/2021,surveillance,99.7,7838,hCoV-19/USA/VSP0934/2021,MW881990
VSP0935,B.1.1.7,3/8/2021,surveillance,99.7,12075,hCoV-19/USA/VSP0935/2021,MW881991
VSP0936,B.1.2,3/8/2021,surveillance,99.7,9415,hCoV-19/USA/VSP0936/2021,MW881992
VSP0937,B.1.110.3,3/8/2021,surveillance,99.7,8914,hCoV-19/USA/VSP0937/2021,MW881993
VSP0938,B.1.2,3/8/2021,surveillance,99.1,8775,hCoV-19/USA/VSP0938/2021,MW881994
VSP0939,B.1.596,3/8/2021,surveillance,99.7,9304,hCoV-19/USA/VSP0939/2021,MW881995
VSP0941,B.1.637,3/8/2021,surveillance,99.7,8605,hCoV-19/USA/VSP0941/2021,MW881996
VSP0942,B.1.1.7,3/8/2021,surveillance,99.7,5652,hCoV-19/USA/VSP0942/2021,MW881997
VSP0943,B.1.243,3/8/2021,surveillance,99.6,2929,hCoV-19/USA/VSP0943/2021,MW881998
VSP0944,B.1.243,3/8/2021,surveillance,95.7,6330,hCoV-19/USA/VSP0944/2021,
VSP0950,B.1.311,3/8/2021,surveillance,99.7,7960,hCoV-19/USA/VSP0950/2021,MW881999
VSP0951,R.1,3/8/2021,surveillance,99.7,7159,hCoV-19/USA/VSP0951/2021,MW882000
VSP0952,B.1.596,3/8/2021,surveillance,99.7,9300,hCoV-19/USA/VSP0952/2021,MW882001
VSP0953,B.1.526,3/8/2021,surveillance,99.7,8070,hCoV-19/USA/VSP0953/2021,MW882002
VSP0954,B.1.637,3/8/2021,surveillance,99.7,8555,hCoV-19/USA/VSP0954/2021,MW882003
VSP0956,B.1.409,3/8/2021,surveillance,96.4,9541,hCoV-19/USA/VSP0956/2021,
VSP0957,B.1.575,3/8/2021,surveillance,99.6,8620,hCoV-19/USA/VSP0957/2021,MW882004
VSP0959,B.1.1.519,3/8/2021,surveillance,99.7,8973,hCoV-19/USA/VSP0959/2021,MW882005
VSP0960,B.1.433,3/8/2021,surveillance,99.6,7002,hCoV-19/USA/VSP0960/2021,MW882006
VSP0961,B.1.234,3/8/2021,surveillance,98.9,8209,hCoV-19/USA/VSP0961/2021,MW882007
VSP0964,B.1.575,3/8/2021,surveillance,99.7,7995,hCoV-19/USA/VSP0964/2021,MW882008
VSP0966,R.1,3/8/2021,surveillance,99.6,11400,hCoV-19/USA/VSP0966/2021,MW882009
VSP0967,B.1.526,3/8/2021,surveillance,99.7,9455,hCoV-19/USA/VSP0967/2021,MW882010
VSP0970,B.1.243,3/8/2021,surveillance,99.7,28014,hCoV-19/USA/VSP0970/2021,MW882011
VSP0971,B.1.526,3/8/2021,surveillance,99.6,11272,hCoV-19/USA/VSP0971/2021,MW882012
VSP0972,B.1.409,3/8/2021,surveillance,99.7,10106,hCoV-19/USA/VSP0972/2021,MW882013
VSP0973,B.1.596,3/8/2021,surveillance,99.7,20243,hCoV-19/USA/VSP0973/2021,OK245781
VSP0974,B.1.526,3/8/2021,surveillance,99.7,8910,hCoV-19/USA/VSP0974/2021,MW882014
VSP0975,B.1.526,3/8/2021,surveillance,98.9,7494,hCoV-19/USA/VSP0975/2021,MW882015
VSP0977,B.1.234,3/8/2021,surveillance,99.7,13621,hCoV-19/USA/VSP0977/2021,MW882016
VSP0978,B.1.526,3/8/2021,surveillance,99.5,11418,hCoV-19/USA/VSP0978/2021,MW882017
VSP0979,B.1.243,3/8/2021,surveillance,99.7,10735,hCoV-19/USA/VSP0979/2021,MW882018
VSP0980,B.1.2,3/8/2021,surveillance,99.7,7451,hCoV-19/USA/VSP0980/2021,MW882019
VSP0981,B.1.2,3/8/2021,surveillance,99.7,6689,hCoV-19/USA/VSP0981/2021,MW882020
VSP0982,B.1.637,3/8/2021,surveillance,99.7,7333,hCoV-19/USA/VSP0982/2021,MW882021
VSP0983,B.1.243,3/8/2021,surveillance,99.7,5643,hCoV-19/USA/VSP0983/2021,MW882022
VSP0984,B.1.243,3/8/2021,surveillance,99.7,5930,hCoV-19/USA/VSP0984/2021,MW882023
VSP0985,B.1.1.434,3/8/2021,surveillance,99.7,7871,hCoV-19/USA/VSP0985/2021,MW882024
VSP0986,B.1.526,3/8/2021,surveillance,99.7,7071,hCoV-19/USA/VSP0986/2021,MW882025
VSP0987,B.1.2,3/8/2021,surveillance,99.7,4616,hCoV-19/USA/VSP0987/2021,MW882026
VSP0988,B.1.2,3/8/2021,surveillance,99.7,7081,hCoV-19/USA/VSP0988/2021,MW882027
VSP0989,B.1.1.7,3/8/2021,surveillance,99.7,5906,hCoV-19/USA/VSP0989/2021,MW882028
VSP0990,B.1.1.7,3/8/2021,surveillance,99.7,6581,hCoV-19/USA/VSP0990/2021,MW882029
VSP0992,B.1.526,3/8/2021,surveillance,99.7,6525,hCoV-19/USA/VSP0992/2021,MW882030
VSP0993,B.1.526,3/8/2021,surveillance,99.7,5136,hCoV-19/USA/VSP0993/2021,MW882031
VSP0994,B.1.526,3/8/2021,surveillance,99.7,7398,hCoV-19/USA/VSP0994/2021,MW882032
VSP0995,B.1.637,3/8/2021,surveillance,99.7,6177,hCoV-19/USA/VSP0995/2021,MW882033
VSP0996,B.1.306,3/8/2021,surveillance,99.5,6285,hCoV-19/USA/VSP0996/2021,MW882034
VSP0997,B.1.637,3/8/2021,surveillance,99.7,7365,hCoV-19/USA/VSP0997/2021,MW882035
VSP0998,B.1.234,3/8/2021,surveillance,99.7,7635,hCoV-19/USA/VSP0998/2021,OK245782
VSP0999,R.1,3/8/2021,surveillance,99.7,7978,hCoV-19/USA/VSP0999/2021,MW882036
VSP1000,B.1.575,3/8/2021,surveillance,99.7,7050,hCoV-19/USA/VSP1000/2021,MW882037
VSP1001,B.1.2,3/8/2021,surveillance,99.7,6802,hCoV-19/USA/VSP1001/2021,MW882038
VSP1002,B.1.575,3/8/2021,surveillance,99.1,6671,hCoV-19/USA/VSP1002/2021,MW882039
VSP1003,B.1.526,3/8/2021,surveillance,99.7,8415,hCoV-19/USA/VSP1003/2021,MW882040
VSP1004,B.1.243,3/8/2021,surveillance,99.7,7955,hCoV-19/USA/VSP1004/2021,MW882041
VSP1005,B.1.526,3/8/2021,surveillance,99.7,6994,hCoV-19/USA/VSP1005/2021,MW882042
VSP1006,B.1.595,3/8/2021,surveillance,99.7,7433,hCoV-19/USA/VSP1006/2021,MW882043
VSP1007,B.1.1.434,3/8/2021,surveillance,99.7,5998,hCoV-19/USA/VSP1007/2021,MW882044
VSP1008,R.1,3/8/2021,surveillance,99.7,6809,hCoV-19/USA/VSP1008/2021,MW882045
VSP1009,B.1.575,3/8/2021,surveillance,99.7,7231,hCoV-19/USA/VSP1009/2021,MW882046
VSP1010,B.1.526,3/8/2021,surveillance,99.7,7234,hCoV-19/USA/VSP1010/2021,MW882047
VSP1011,B.1.409,3/8/2021,surveillance,99.7,5339,hCoV-19/USA/VSP1011/2021,MW882048
VSP1012,B.1.1.7,3/8/2021,surveillance,99.7,7106,hCoV-19/USA/VSP1012/2021,MW882049
VSP1013,B.1.2,3/8/2021,surveillance,99.7,6488,hCoV-19/USA/VSP1013/2021,MW882050
VSP1014,B.1.110.3,3/8/2021,surveillance,99.7,6592,hCoV-19/USA/VSP1014/2021,MW882051
VSP1015,B.1.170,3/8/2021,surveillance,99.7,8843,hCoV-19/USA/VSP1015/2021,MW882052
VSP1016,B.1.2,3/8/2021,surveillance,99.7,8536,hCoV-19/USA/VSP1016/2021,MW882053
VSP1017,B.1.2,3/8/2021,surveillance,99.7,5550,hCoV-19/USA/VSP1017/2021,MW882054
VSP1018,B.1.433,3/8/2021,surveillance,99.7,8305,hCoV-19/USA/VSP1018/2021,MW882055
VSP1019,B.1.526,3/8/2021,surveillance,99.7,7763,hCoV-19/USA/VSP1019/2021,MW882056
VSP1020,B.1.429,3/8/2021,surveillance,99.7,8050,hCoV-19/USA/VSP1020/2021,MW882057
VSP1021,B.1.2,3/8/2021,surveillance,99.7,8227,hCoV-19/USA/VSP1021/2021,MW882058
VSP1022,B.1.1.7,3/8/2021,surveillance,99.7,7311,hCoV-19/USA/VSP1022/2021,MW882059
VSP1023,B.1.427,3/8/2021,surveillance,99.7,7749,hCoV-19/USA/VSP1023/2021,MW882060
VSP1024,B.1.2,3/8/2021,surveillance,99.7,9755,hCoV-19/USA/VSP1024/2021,MW882061
VSP1025,B.1.1.7,3/8/2021,surveillance,99.7,7888,hCoV-19/USA/VSP1025/2021,MW882062
